question_id,point_code,point_title,dimension,question_no,score,max_score
P2-D5-Q24,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D5,24,1.5,3.0
P2-D5-Q25,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D5,25,1.5,3.0
P2-D6-Q26,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D6,26,1.5,3.0
P2-D6-Q27,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D6,27,1.5,3.0
P2-D6-Q28,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D6,28,1.5,3.0
P2-D6-Q29,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D6,29,1.5,3.0
P2-D6-Q30,P2,"Prevención de la violencia y protección de la población frente al conflicto armado y la violencia generada por grupos delincuenciales organizados, asociada a economías ilegales",D6,30,1.5,3.0
P3-D1-Q1,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D1,1,1.5,3.0
P3-D1-Q2,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D1,2,1.5,3.0
P3-D1-Q3,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D1,3,1.5,3.0
P3-D1-Q4,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D1,4,1.5,3.0
P3-D1-Q5,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D1,5,1.5,3.0
P3-D2-Q6,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D2,6,1.5,3.0
P3-D2-Q7,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D2,7,1.5,3.0
P3-D2-Q8,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D2,8,1.5,3.0
P3-D2-Q9,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D2,9,1.5,3.0
P3-D2-Q10,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D2,10,1.5,3.0
P3-D3-Q11,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D3,11,1.5,3.0
P3-D3-Q12,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D3,12,1.5,3.0
P3-D3-Q13,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D3,13,1.5,3.0
P3-D3-Q14,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D3,14,1.5,3.0
P3-D3-Q15,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D3,15,1.5,3.0
P3-D4-Q16,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D4,16,1.5,3.0
P3-D4-Q17,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D4,17,1.5,3.0
P3-D4-Q18,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D4,18,1.5,3.0
P3-D4-Q19,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D4,19,1.5,3.0
P3-D4-Q20,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D4,20,1.5,3.0
P3-D5-Q21,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D5,21,1.5,3.0
P3-D5-Q22,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D5,22,1.5,3.0
P3-D5-Q23,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D5,23,1.5,3.0
P3-D5-Q24,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D5,24,1.5,3.0
P3-D5-Q25,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D5,25,1.5,3.0
P3-D6-Q26,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D6,26,1.5,3.0
P3-D6-Q27,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D6,27,1.5,3.0
P3-D6-Q28,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D6,28,1.5,3.0
P3-D6-Q29,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D6,29,1.5,3.0
P3-D6-Q30,P3,"Ambiente sano, cambio climático, prevención y atención a desastres",D6,30,1.5,3.0
P4-D1-Q1,P4,"Derechos económicos, sociales y culturales",D1,1,1.5,3.0
P4-D1-Q2,P4,"Derechos económicos, sociales y culturales",D1,2,1.5,3.0
P4-D1-Q3,P4,"Derechos económicos, sociales y culturales",D1,3,1.5,3.0
P4-D1-Q4,P4,"Derechos económicos, sociales y culturales",D1,4,1.5,3.0
P4-D1-Q5,P4,"Derechos económicos, sociales y culturales",D1,5,1.5,3.0
P4-D2-Q6,P4,"Derechos económicos, sociales y culturales",D2,6,1.5,3.0
P4-D2-Q7,P4,"Derechos económicos, sociales y culturales",D2,7,1.5,3.0
P4-D2-Q8,P4,"Derechos económicos, sociales y culturales",D2,8,1.5,3.0
P4-D2-Q9,P4,"Derechos económicos, sociales y culturales",D2,9,1.5,3.0
P4-D2-Q10,P4,"Derechos económicos, sociales y culturales",D2,10,1.5,3.0
P4-D3-Q11,P4,"Derechos económicos, sociales y culturales",D3,11,1.5,3.0
P4-D3-Q12,P4,"Derechos económicos, sociales y culturales",D3,12,1.5,3.0
P4-D3-Q13,P4,"Derechos económicos, sociales y culturales",D3,13,1.5,3.0
P4-D3-Q14,P4,"Derechos económicos, sociales y culturales",D3,14,1.5,3.0
P4-D3-Q15,P4,"Derechos económicos, sociales y culturales",D3,15,1.5,3.0
P4-D4-Q16,P4,"Derechos económicos, sociales y culturales",D4,16,1.5,3.0
P4-D4-Q17,P4,"Derechos económicos, sociales y culturales",D4,17,1.5,3.0
P4-D4-Q18,P4,"Derechos económicos, sociales y culturales",D4,18,1.5,3.0
P4-D4-Q19,P4,"Derechos económicos, sociales y culturales",D4,19,1.5,3.0
P4-D4-Q20,P4,"Derechos económicos, sociales y culturales",D4,20,1.5,3.0
P4-D5-Q21,P4,"Derechos económicos, sociales y culturales",D5,21,1.5,3.0
P4-D5-Q22,P4,"Derechos económicos, sociales y culturales",D5,22,1.5,3.0
P4-D5-Q23,P4,"Derechos económicos, sociales y culturales",D5,23,1.5,3.0
P4-D5-Q24,P4,"Derechos económicos, sociales y culturales",D5,24,1.5,3.0
P4-D5-Q25,P4,"Derechos económicos, sociales y culturales",D5,25,1.5,3.0
P4-D6-Q26,P4,"Derechos económicos, sociales y culturales",D6,26,1.5,3.0
P4-D6-Q27,P4,"Derechos económicos, sociales y culturales",D6,27,1.5,3.0
P4-D6-Q28,P4,"Derechos económicos, sociales y culturales",D6,28,1.5,3.0
P4-D6-Q29,P4,"Derechos económicos, sociales y culturales",D6,29,1.5,3.0
P4-D6-Q30,P4,"Derechos económicos, sociales y culturales",D6,30,1.5,3.0
P5-D1-Q1,P5,"Derechos de las víctimas y construcción de paz",D1,1,1.5,3.0
P5-D1-Q2,P5,"Derechos de las víctimas y construcción de paz",D1,2,1.5,3.0
P5-D1-Q3,P5,"Derechos de las víctimas y construcción de paz",D1,3,1.5,3.0
P5-D1-Q4,P5,"Derechos de las víctimas y construcción de paz",D1,4,1.5,3.0
P5-D1-Q5,P5,"Derechos de las víctimas y construcción de paz",D1,5,1.5,3.0
P5-D2-Q6,P5,"Derechos de las víctimas y construcción de paz",D2,6,1.5,3.0
P5-D2-Q7,P5,"Derechos de las víctimas y construcción de paz",D2,7,1.5,3.0
P5-D2-Q8,P5,"Derechos de las víctimas y construcción de paz",D2,8,1.5,3.0
P5-D2-Q9,P5,"Derechos de las víctimas y construcción de paz",D2,9,1.5,3.0
P5-D2-Q10,P5,"Derechos de las víctimas y construcción de paz",D2,10,1.5,3.0
P5-D3-Q11,P5,"Derechos de las víctimas y construcción de paz",D3,11,1.5,3.0
P5-D3-Q12,P5,"Derechos de las víctimas y construcción de paz",D3,12,1.5,3.0
P5-D3-Q13,P5,"Derechos de las víctimas y construcción de paz",D3,13,1.5,3.0
P5-D3-Q14,P5,"Derechos de las víctimas y construcción de paz",D3,14,1.5,3.0
P5-D3-Q15,P5,"Derechos de las víctimas y construcción de paz",D3,15,1.5,3.0
P5-D4-Q16,P5,"Derechos de las víctimas y construcción de paz",D4,16,1.5,3.0
P5-D4-Q17,P5,"Derechos de las víctimas y construcción de paz",D4,17,1.5,3.0
P5-D4-Q18,P5,"Derechos de las víctimas y construcción de paz",D4,18,1.5,3.0
P5-D4-Q19,P5,"Derechos de las víctimas y construcción de paz",D4,19,1.5,3.0
P5-D4-Q20,P5,"Derechos de las víctimas y construcción de paz",D4,20,1.5,3.0
P5-D5-Q21,P5,"Derechos de las víctimas y construcción de paz",D5,21,1.5,3.0
P5-D5-Q22,P5,"Derechos de las víctimas y construcción de paz",D5,22,1.5,3.0
P5-D5-Q23,P5,"Derechos de las víctimas y construcción de paz",D5,23,1.5,3.0
P5-D5-Q24,P5,"Derechos de las víctimas y construcción de paz",D5,24,1.5,3.0
P5-D5-Q25,P5,"Derechos de las víctimas y construcción de paz",D5,25,1.5,3.0
P5-D6-Q26,P5,"Derechos de las víctimas y construcción de paz",D6,26,1.5,3.0
P5-D6-Q27,P5,"Derechos de las víctimas y construcción de paz",D6,27,1.5,3.0
P5-D6-Q28,P5,"Derechos de las víctimas y construcción de paz",D6,28,1.5,3.0
P5-D6-Q29,P5,"Derechos de las víctimas y construcción de paz",D6,29,1.5,3.0
P5-D6-Q30,P5,"Derechos de las víctimas y construcción de paz",D6,30,1.5,3.0
P6-D1-Q1,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D1,1,1.5,3.0
P6-D1-Q2,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D1,2,1.5,3.0
P6-D1-Q3,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D1,3,1.5,3.0
P6-D1-Q4,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D1,4,1.5,3.0
P6-D1-Q5,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D1,5,1.5,3.0
P6-D2-Q6,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D2,6,1.5,3.0
P6-D2-Q7,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D2,7,1.5,3.0
P6-D2-Q8,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D2,8,1.5,3.0
P6-D2-Q9,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D2,9,1.5,3.0
P6-D2-Q10,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D2,10,1.5,3.0
P6-D3-Q11,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D3,11,1.5,3.0
P6-D3-Q12,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D3,12,1.5,3.0
P6-D3-Q13,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D3,13,1.5,3.0
P6-D3-Q14,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D3,14,1.5,3.0
P6-D3-Q15,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D3,15,1.5,3.0
P6-D4-Q16,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D4,16,1.5,3.0
P6-D4-Q17,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D4,17,1.5,3.0
P6-D4-Q18,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D4,18,1.5,3.0
P6-D4-Q19,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D4,19,1.5,3.0
P6-D4-Q20,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D4,20,1.5,3.0
P6-D5-Q21,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D5,21,1.5,3.0
P6-D5-Q22,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D5,22,1.5,3.0
P6-D5-Q23,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D5,23,1.5,3.0
P6-D5-Q24,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D5,24,1.5,3.0
P6-D5-Q25,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D5,25,1.5,3.0
P6-D6-Q26,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D6,26,1.5,3.0
P6-D6-Q27,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D6,27,1.5,3.0
P6-D6-Q28,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D6,28,1.5,3.0
P6-D6-Q29,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D6,29,1.5,3.0
P6-D6-Q30,P6,"Derecho al buen futuro de la niñez, adolescencia, juventud y entornos protectores",D6,30,1.5,3.0
P7-D1-Q1,P7,"Tierras y territorios",D1,1,1.5,3.0
P7-D1-Q2,P7,"Tierras y territorios",D1,2,1.5,3.0
P7-D1-Q3,P7,"Tierras y territorios",D1,3,1.5,3.0
P7-D1-Q4,P7,"Tierras y territorios",D1,4,1.5,3.0
P7-D1-Q5,P7,"Tierras y territorios",D1,5,1.5,3.0
P7-D2-Q6,P7,"Tierras y territorios",D2,6,1.5,3.0
P7-D2-Q7,P7,"Tierras y territorios",D2,7,1.5,3.0
P7-D2-Q8,P7,"Tierras y territorios",D2,8,1.5,3.0
P7-D2-Q9,P7,"Tierras y territorios",D2,9,1.5,3.0
P7-D2-Q10,P7,"Tierras y territorios",D2,10,1.5,3.0
P7-D3-Q11,P7,"Tierras y territorios",D3,11,1.5,3.0
P7-D3-Q12,P7,"Tierras y territorios",D3,12,1.5,3.0
P7-D3-Q13,P7,"Tierras y territorios",D3,13,1.5,3.0
P7-D3-Q14,P7,"Tierras y territorios",D3,14,1.5,3.0
P7-D3-Q15,P7,"Tierras y territorios",D3,15,1.5,3.0
P7-D4-Q16,P7,"Tierras y territorios",D4,16,1.5,3.0
P7-D4-Q17,P7,"Tierras y territorios",D4,17,1.5,3.0
P7-D4-Q18,P7,"Tierras y territorios",D4,18,1.5,3.0
P7-D4-Q19,P7,"Tierras y territorios",D4,19,1.5,3.0
P7-D4-Q20,P7,"Tierras y territorios",D4,20,1.5,3.0
P7-D5-Q21,P7,"Tierras y territorios",D5,21,1.5,3.0
P7-D5-Q22,P7,"Tierras y territorios",D5,22,1.5,3.0
P7-D5-Q23,P7,"Tierras y territorios",D5,23,1.5,3.0
P7-D5-Q24,P7,"Tierras y territorios",D5,24,1.5,3.0
P7-D5-Q25,P7,"Tierras y territorios",D5,25,1.5,3.0
P7-D6-Q26,P7,"Tierras y territorios",D6,26,1.5,3.0
P7-D6-Q27,P7,"Tierras y territorios",D6,27,1.5,3.0
P7-D6-Q28,P7,"Tierras y territorios",D6,28,1.5,3.0
P7-D6-Q29,P7,"Tierras y territorios",D6,29,1.5,3.0
P7-D6-Q30,P7,"Tierras y territorios",D6,30,1.5,3.0
P8-D1-Q1,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D1,1,1.5,3.0
P8-D1-Q2,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D1,2,1.5,3.0
P8-D1-Q3,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D1,3,1.5,3.0
P8-D1-Q4,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D1,4,1.5,3.0
P8-D1-Q5,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D1,5,1.5,3.0
P8-D2-Q6,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D2,6,1.5,3.0
P8-D2-Q7,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D2,7,1.5,3.0
P8-D2-Q8,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D2,8,1.5,3.0
P8-D2-Q9,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D2,9,1.5,3.0
P8-D2-Q10,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D2,10,1.5,3.0
P8-D3-Q11,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D3,11,1.5,3.0
P8-D3-Q12,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D3,12,1.5,3.0
P8-D3-Q13,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D3,13,1.5,3.0
P8-D3-Q14,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D3,14,1.5,3.0
P8-D3-Q15,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D3,15,1.5,3.0
P8-D4-Q16,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D4,16,1.5,3.0
P8-D4-Q17,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D4,17,1.5,3.0
P8-D4-Q18,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D4,18,1.5,3.0
P8-D4-Q19,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D4,19,1.5,3.0
P8-D4-Q20,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D4,20,1.5,3.0
P8-D5-Q21,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D5,21,1.5,3.0
P8-D5-Q22,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D5,22,1.5,3.0
P8-D5-Q23,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D5,23,1.5,3.0
P8-D5-Q24,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D5,24,1.5,3.0
P8-D5-Q25,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D5,25,1.5,3.0
P8-D6-Q26,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D6,26,1.5,3.0
P8-D6-Q27,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D6,27,1.5,3.0
P8-D6-Q28,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D6,28,1.5,3.0
P8-D6-Q29,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D6,29,1.5,3.0
P8-D6-Q30,P8,"Líderes y lideresas, defensores y defensoras de derechos humanos, comunitarios, sociales, ambientales, de la tierra, el territorio y de la naturaleza",D6,30,1.5,3.0
P9-D1-Q1,P9,"Crisis de derechos de personas privadas de la libertad",D1,1,1.5,3.0
P9-D1-Q2,P9,"Crisis de derechos de personas privadas de la libertad",D1,2,1.5,3.0
P9-D1-Q3,P9,"Crisis de derechos de personas privadas de la libertad",D1,3,1.5,3.0
P9-D1-Q4,P9,"Crisis de derechos de personas privadas de la libertad",D1,4,1.5,3.0
P9-D1-Q5,P9,"Crisis de derechos de personas privadas de la libertad",D1,5,1.5,3.0
P9-D2-Q6,P9,"Crisis de derechos de personas privadas de la libertad",D2,6,1.5,3.0
P9-D2-Q7,P9,"Crisis de derechos de personas privadas de la libertad",D2,7,1.5,3.0
P9-D2-Q8,P9,"Crisis de derechos de personas privadas de la libertad",D2,8,1.5,3.0
